letter,frequency_%
a,0.9414442375336229
b,3.910614525139665
c,3.0622801572522245
d,6.7970204841713215
e,8.34885164494103
f,1.6345954893440928
g,0.051727705358990274
h,5.845230705565902
i,6.869439271673909
j,8.576453548520588
k,2.9484792054624456
l,1.0655907303951997
m,2.1415270018621975
n,0.17587419822056694
o,2.244982412580178
p,0.031036623215394164
q,8.390233809228222
r,1.3656114214773432
s,3.010552451893234
t,3.6519759983447133
u,10.780053796813574
v,2.1932547072211874
w,1.8001241464928615
x,5.9383405752120835
y,8.059176494930686
z,0.16552865714876888
