encrypted_number,mapped_letter,frequency_%
28,E,10.780053796813574
2159,T,8.576453548520588
2790,A,8.390233809228222
1307,O,8.34885164494103
1486,I,8.059176494930686
2680,S,6.869439271673909
3165,N,6.7970204841713215
3000,H,5.9383405752120835
1859,R,5.845230705565902
2726,L,3.910614525139665
1759,D,3.6519759983447133
3123,C,3.0622801572522245
641,U,3.010552451893234
2310,M,2.9484792054624456
99,F,2.244982412580178
325,P,2.1932547072211874
604,G,2.1415270018621975
669,W,1.8001241464928615
2933,Y,1.6345954893440928
524,B,1.3656114214773432
1906,V,1.0655907303951997
597,K,0.9414442375336229
1345,X,0.17587419822056694
1877,J,0.16552865714876888
2718,Q,0.051727705358990274
1668,Z,0.031036623215394164
