probability_p,trials_n,trajectories_m,mean_frequency,std_deviation,theoretical_std,min_frequency,max_frequency,bias
0.1,100,100,0.0978,0.028725598340156474,0.030000000000000002,0.04,0.17,-0.0022000000000000075
0.1,500,100,0.09792000000000002,0.014543507142364253,0.01341640786499874,0.072,0.15,-0.0020799999999999846
0.1,1000,100,0.10030999999999998,0.009368772598371678,0.009486832980505138,0.071,0.119,0.00030999999999997696
0.3,100,100,0.2924,0.042216584418922384,0.0458257569495584,0.18,0.4,-0.007599999999999996
0.3,500,100,0.30323999999999995,0.020081394373897447,0.020493901531919195,0.25,0.354,0.003239999999999965
0.3,1000,100,0.29932000000000003,0.013866419869598644,0.014491376746189439,0.267,0.335,-0.0006799999999999584
0.5,100,100,0.5071,0.04842096653310423,0.05,0.42,0.66,0.007099999999999995
0.5,500,100,0.49977999999999995,0.022951941094382422,0.022360679774997897,0.44,0.55,-0.00022000000000005349
0.5,1000,100,0.50096,0.015865635820855095,0.015811388300841896,0.465,0.549,0.0009599999999999609
0.7,100,100,0.7093,0.038216619421398326,0.045825756949558406,0.61,0.81,0.009300000000000086
0.7,500,100,0.70164,0.019920602400529945,0.020493901531919198,0.66,0.756,0.0016400000000000858
0.7,1000,100,0.69983,0.012648363530512538,0.014491376746189439,0.666,0.728,-0.00017000000000000348
0.9,100,100,0.8985000000000001,0.026995369973386186,0.03,0.82,0.97,-0.0014999999999999458
0.9,500,100,0.9002800000000001,0.014074146510534851,0.013416407864998736,0.864,0.928,0.000280000000000058
0.9,1000,100,0.90074,0.00911660024351184,0.009486832980505136,0.878,0.917,0.0007399999999999629
